	WT1_R3TK43_d0_STOOL	WT1_R3TK43_d7_STOOL	WT2_L1TK28_d0_STOOL	WT2_L1TK28_D7_STOOL	WT3_L1TK41_d0_STOOL	WT3_L1TK41_d7_STOOL	WT4_R1TK44_d0_STOOL	WT4_R1TK44_d7_STOOL	KO1_R3L1TK43_d0_STOOL	KO1_R3L1TK43_d7_STOOL	KO2_R1R3TK28_d0_STOOL	KO2_R1R3TK28_d7_STOOL	KO3_L3TK40_d0_STOOL	KO3_L3TK40_d7_STOOL	KO4_TK44L1_d0_STOOL	KO4_TK44L1_d7_STOOL
WT1_R3TK43_d0_STOOL	0.0	0.7305503715414409	2.6042291230058807	2.266497988695172	0.8517548716777903	0.5972407754325224	2.2094426946220733	0.90285661309348	1.007120871472839	2.043176217044622	2.711797061920837	0.8767024563668954	0.7070187776043378	2.3922182525315865	2.8447920338959727	0.8096934939405802
WT1_R3TK43_d7_STOOL	0.7305503715414409	0.0	3.282958449655892	2.9434197478226825	1.449887174686949	0.971580819656391	2.912586346536256	1.5739735190393185	1.7357963489802786	2.2337472629748967	3.3732227989645556	1.571028157323358	0.9398244094779956	2.8557865188297926	3.491364202483063	1.136741641474344
WT2_L1TK28_d0_STOOL	2.6042291230058807	3.282958449655892	0.0	0.3493976046368643	1.8609899596549797	2.3826034249972614	1.7711388382129718	2.2016689609046574	1.6959549144209063	2.4473305083693635	0.2041647161225561	1.7315477899995568	3.032209215266905	3.2621660914180155	2.543874276157232	2.973421492447472
WT2_L1TK28_D7_STOOL	2.266497988695172	2.9434197478226825	0.3493976046368643	0.0	1.5333810219304562	2.047134082156244	1.6496220154789576	1.9063423430882827	1.3788357493626389	2.1844850791953596	0.4676569400276994	1.3990460330544252	2.7147378099366257	3.069769848899333	2.4659151246875832	2.658751367192275
WT3_L1TK41_d0_STOOL	0.8517548716777903	1.449887174686949	1.8609899596549797	1.5333810219304562	0.0	0.5632494091506633	1.9800349552100722	1.0469599836429586	0.6865174913551829	1.6284132321817049	1.9429256161173087	0.3452360152395295	1.4386054602423826	2.696247208056714	2.7807573587449967	1.5012811186763766
WT3_L1TK41_d7_STOOL	0.5972407754325224	0.971580819656391	2.3826034249972614	2.047134082156244	0.5632494091506633	0.0	2.4228106353984065	1.2719158216047401	1.0975496766819517	1.5097812829323496	2.4508212595595125	0.800902303831229	1.2847035539168026	2.8904892264982487	3.163939459681564	1.4020331354460818
WT4_R1TK44_d0_STOOL	2.2094426946220733	2.912586346536256	1.7711388382129718	1.6496220154789576	1.9800349552100722	2.4228106353984065	0.0	1.3483533239216754	1.3292358312450532	3.3211675498319324	1.9750194053760624	1.6561561656645134	2.2028298973706057	1.5539276487422058	0.8718465179641073	2.0387122492094267
WT4_R1TK44_d7_STOOL	0.90285661309348	1.5739735190393185	2.2016689609046574	1.9063423430882827	1.0469599836429586	1.2719158216047401	1.3483533239216754	0.0	0.5696133358927551	2.567416985926561	2.359694162302165	0.7901351807985256	0.9075751286763094	1.6552774691318874	1.9643633226374124	0.8111073337385216
KO1_R3L1TK43_d0_STOOL	1.007120871472839	1.7357963489802786	1.6959549144209063	1.3788357493626389	0.6865174913551829	1.0975496766819517	1.3292358312450532	0.5696133358927551	0.0	2.1435235865969653	1.8383121979918273	0.34629152012853004	1.340947366080679	2.100013449596379	2.104849269544182	1.2833352605861839
KO1_R3L1TK43_d7_STOOL	2.043176217044622	2.2337472629748967	2.4473305083693635	2.1844850791953596	1.6284132321817049	1.5097812829323496	3.3211675498319324	2.567416985926561	2.1435235865969653	0.0	2.3998500202077624	1.8449397198759765	2.748678877952295	4.159545228450675	4.123984698107198	2.814784505605748
KO2_R1R3TK28_d0_STOOL	2.711797061920837	3.3732227989645556	0.2041647161225561	0.4676569400276994	1.9429256161173087	2.4508212595595125	1.9750194053760624	2.359694162302165	1.8383121979918273	2.3998500202077624	0.0	1.8432582815512513	3.1697567690827158	3.460911909771038	2.746178286240888	3.120559450866937
KO2_R1R3TK28_d7_STOOL	0.8767024563668954	1.571028157323358	1.7315477899995568	1.3990460330544252	0.3452360152395295	0.800902303831229	1.6561561656645134	0.7901351807985256	0.34629152012853004	1.8449397198759765	1.8432582815512513	0.0	1.3680019004954593	2.40783238339444	2.448180047366999	1.3699136542360915
KO3_L3TK40_d0_STOOL	0.7070187776043378	0.9398244094779956	3.032209215266905	2.7147378099366257	1.4386054602423826	1.2847035539168026	2.2028298973706057	0.9075751286763094	1.340947366080679	2.748678877952295	3.1697567690827158	1.3680019004954593	0.0	1.9328708236013854	2.6664068769922507	0.2812765989884038
KO3_L3TK40_d7_STOOL	2.3922182525315865	2.8557865188297926	3.2621660914180155	3.069769848899333	2.696247208056714	2.8904892264982487	1.5539276487422058	1.6552774691318874	2.100013449596379	4.159545228450675	3.460911909771038	2.40783238339444	1.9328708236013854	0.0	1.2650714148099562	1.720797897253724
KO4_TK44L1_d0_STOOL	2.8447920338959727	3.491364202483063	2.543874276157232	2.4659151246875832	2.7807573587449967	3.163939459681564	0.8718465179641073	1.9643633226374124	2.104849269544182	4.123984698107198	2.746178286240888	2.448180047366999	2.6664068769922507	1.2650714148099562	0.0	2.4580159728142066
KO4_TK44L1_d7_STOOL	0.8096934939405802	1.136741641474344	2.973421492447472	2.658751367192275	1.5012811186763766	1.4020331354460818	2.0387122492094267	0.8111073337385216	1.2833352605861839	2.814784505605748	3.120559450866937	1.3699136542360915	0.2812765989884038	1.720797897253724	2.4580159728142066	0.0
