metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Sex	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae_RC9_gut_group	Male	1.81690175533367	0.331364064042055	17	0	0.000105124347683649	0.00280202890079429
Sex	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__	Male	-0.932488699959911	0.15627086550418	17	0	4.69086550936231e-05	0.00280202890079429
Sex	k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila	Male	1.17943656449973	0.206823951435806	17	0	7.26124670325525e-05	0.00280202890079429
Sex	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__	Male	0.738159325550361	0.138499076425838	17	0	0.000136684336624112	0.00280202890079429
Sex	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__.g__	Male	1.37537031175404	0.277038758857851	17	0	0.000258683379474418	0.00424240742338046
Sex	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae_1.g__Clostridium_sensu_stricto_18	Male	-0.357757664570047	0.0766446283059613	17	0	0.000440146566491986	0.00546657930059085
Histology	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminiclostridium_5	Histology	-0.620236233196656	0.133802493678286	17	0	0.000466659208587024	0.00546657930059085
Sex	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.006	Male	-0.643488749877184	0.142803556200336	17	0	0.000590648483688109	0.00605414695780312
Histology	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Klebsiella	Histology	0.784434458472257	0.208527396836598	17	0	0.00237366809079776	0.0216267537161574
Histology	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	Histology	0.510882183290637	0.148423725299734	17	0	0.00437435731951882	0.0358697300200543
Sex	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus	Male	0.593523656056594	0.178362894633081	17	0	0.00545032224693816	0.0406296749317208
Histology	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.006	Histology	-0.234837368843858	0.0731650504794394	17	0	0.0068387753332105	0.0467316314436051
Sex	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Family_XIII.g__	Male	0.732974547394092	0.243861983466504	17	0	0.0101273875222079	0.0638804443708498
Sex	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_NK4A136_group	Male	-0.475447736154535	0.167990176054142	17	0	0.0141848392547606	0.0830826299207404
Sex	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Coriobacteriaceae_UCG.002	Male	0.999571260728231	0.391503190157488	17	0	0.0240482791747197	0.115154105068903
Histology	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Coriobacteriaceae_UCG.002	Histology	-0.476022971064091	0.200585695712995	17	0	0.0337359606284566	0.115154105068903
Sex	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus	Male	-0.409307969489331	0.165365451217068	17	0	0.027862140501003	0.115154105068903
Histology	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__	Histology	-0.254533383598162	0.0982390456603859	17	0	0.0223866178397923	0.115154105068903
Sex	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__Catabacter	Male	0.191162343464746	0.0799195754978031	17	0	0.0325729593819967	0.115154105068903
Histology	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae_1.g__Clostridium_sensu_stricto_18	Histology	-0.0923521697107606	0.0392686866363229	17	0	0.0351079588624703	0.115154105068903
Histology	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__	Histology	-0.192130350497897	0.0800649932487615	17	0	0.0321042464405884	0.115154105068903
Sex	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__	Male	-0.55558829061237	0.231863217333561	17	0	0.0323146242964278	0.115154105068903
Histology	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Caproiciproducens	Histology	-0.427690524933887	0.170003733382047	17	0	0.0258092440326661	0.115154105068903
Sex	k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalibaculum	Male	-0.982723558419631	0.400231796782768	17	0	0.0289187561626898	0.115154105068903
Histology	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia	Histology	-0.142609782097205	0.0560094624511087	17	0	0.0243683744142114	0.115154105068903
Sex	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminiclostridium_5	Male	-0.598457864422659	0.26115572668267	17	0	0.0392676881668853	0.123844247295561
Histology	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__Catabacter	Histology	0.09137057463034	0.040946597768119	17	0	0.0438830212357895	0.133274360790175
Sex	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia	Male	0.293327365985394	0.133956897198219	17	0	0.0473836971632528	0.135187195985598
Sex	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Betaproteobacteriales.f__Burkholderiaceae.g__Parasutterella	Male	0.201211851116433	0.0920949853345681	17	0	0.0478101058973456	0.135187195985598
