metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Sex	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__	Male	0.781128325750991	0.118136024933842	16	0	2.4935342129401e-05	0.00194495668609328
Sex	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae_RC9_gut_group	Male	1.12752525971242	0.197621097031719	16	0	9.82771080666612e-05	0.00383280721459979
Sex	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus	Male	0.614134914186687	0.139077591683134	16	0	0.000841798846297631	0.0218867700037384
Sex	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae_1.g__Clostridium_sensu_stricto_18	Male	-0.377359224535086	0.0946949339561153	16	0	0.00180991723030452	0.0235289239939587
Sex	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__.g__	Male	1.55464621642474	0.371570834232041	16	0	0.0012674933270793	0.0235289239939587
Sex	k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila	Male	0.506572088530637	0.126377715975903	16	0	0.00173528379288752	0.0235289239939587
Histology	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Caproiciproducens	Histology	-0.398287919822885	0.116936875575155	16	0	0.00521153880242699	0.0580714323699007
Sex	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia	Male	0.362871259552477	0.115220084454477	16	0	0.00838465476123641	0.0726670079307155
Histology	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Klebsiella	Histology	0.752444597410882	0.234578325880779	16	0	0.00752498507005557	0.0726670079307155
Histology	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	Histology	0.468341897849344	0.15203640144257	16	0	0.00952978385572938	0.0743323140746892
Sex	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.006	Male	-0.529051598800552	0.18746154321226	16	0	0.0153973268682527	0.109181045065792
Sex	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Family_XIII.g__	Male	1.03116399210511	0.375793905590176	16	0	0.0178002728384888	0.115701773450177
Histology	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminiclostridium_5	Histology	-0.503257206222606	0.189357760874367	16	0	0.0208797287872529	0.125278372723517
Sex	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__Catabacter	Male	0.348559650616148	0.137997516442711	16	0	0.0266220962404149	0.148323107625169
