	pielou_e
SK01	0.5934884670773634
SK02	0.6538181590972302
SK04	0.5872728413638084
SK05	0.5553506446162699
SK06	0.6003589093200785
SK07	0.6110346769854575
SK08	0.5411353865784908
SK09	0.5293288646918046
SK10	0.5572415307732145
SK11	0.6637002547899578
SK12	0.6813706861307514
SK13	0.6104063472340232
SK14	0.6324472285918311
SK15	0.6425713621728083
SK16	0.5845994344148977
SK17	0.59766675417619
SK18	0.5562047503406735
SK19	0.6020607786575982
SK20	0.6544139959700507
SK21	0.49596676556273833
SK22	0.6055723369110256
SK23	0.585642509566943
SK24	0.5481844276851743
SK25	0.6488336140318892
SK26	0.5271778327448132
SK27	0.6215319520361986
SK28	0.5948121246677605
SK29	0.6328971495250697
SK30	0.6265193150303908
SK31	0.5732692462124972
SK32	0.7233782961149141
SK33	0.7160126377777306
SK34	0.7168707997828772
SK35	0.7146927259969409
SK36	0.6662760729289294
SK37	0.5728806463844083
SK38	0.5564977345861697
SK39	0.5881247643275745
SK40	0.4555905678542649
SK41	0.6433758113512984
SK42	0.5615774754831149
SK43	0.6015559586952905
SK44	0.6050043717478696
SK45	0.6198953494627526
SK46	0.5296540415577434
SK47	0.49473605683199523
SK48	0.5742166659500177
SK49	0.593840730953383
SK50	0.586931153822433
SK51	0.6003991978958197
SK52	0.4517930239494627
SK53	0.5774347503495125
SK54	0.6275726760061046
SK55	0.6225474509665837
SK56	0.5730804891036729
SK57	0.586398916628674
SK58	0.5715743561339712
SK59	0.654261577064961
SK60	0.5964326585599629
SK61	0.6749711240866652
SK62	0.6134324650449248
SK63	0.5537652133076422
SK64	0.5028906527547242
SK65	0.59971902182457
SK66	0.8010164153639013
SK67	0.6832018221177457
SK68	0.6583475217004822
SK69	0.40280630382874616
SK70	0.5318994837610758
SK71	0.567609080788973
SK72	0.4740587720773722
