	observed_otus
S191127.3.1.c	52
S191030.5.0	57
S191030.3.1	41
S190905.4.2	111
S190905.4.0	94
S191030.4.2	28
S191126.3.3	43
S190905.4.3	120
S190905.5.0	82
S191126.4.2	44
S191126.3.2	48
S191030.5.3	48
S191127.5.1.c	57
S191030.4.3	33
S191030.4.0	23
S191126.3.1	51
S191002.4.2	30
S191126.5.1	37
S191030.3.2	38
S191003.5.1	41
S191127.4.0.c	37
S191002.3.3	44
S191127.3.0.c	51
S191127.5.2.c	61
S190905.3.3	80
S191126.5.0	64
S190905.5.1	94
S191126.5.2	55
S191030.3.3	41
S191030.4.1	28
S191002.3.2	31
S190905.5.3	67
S191003.5.0	22
S191126.3.0	35
S191003.4.0	44
S191127.5.0.c	69
S191127.4.1.c	28
S191127.3.2.c	61
S191002.5.3	47
S191030.5.2	56
S190905.3.0	66
S191003.5.2	30
S191126.5.3	57
S191002.4.1	21
S191030.5.1	56
S191002.4.3	27
S190905.3.1	97
S191127.4.2.c	37
S191126.4.1	39
S191127.5.3.c	53
S191030.3.0	42
S191002.3.1	49
S190905.4.1	100
S190905.3.2	124
S190905.5.2	89
S191126.4.0	38
S191127.3.3.c	15
